
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-2.89827800e+00, 6.64511546e-02, 0.00000000e+00, 2.48768711e+00, 5.67399204e-01, -1.76539365e-03
-2.94834709e+00, 6.69285282e-02, 0.00000000e+00, 2.48870516e+00, 5.68908274e-01, -1.72026502e-03
-2.92224240e+00, 1.10213839e-01, 0.00000000e+00, 2.48826170e+00, 8.05762649e-01, -2.62468029e-03
-3.64931464e+00, 7.36118481e-02, 0.00000000e+00, 2.50074148e+00, 5.94088256e-01, -1.28935731e-03
-3.69938374e+00, 7.40892291e-02, 0.00000000e+00, 2.50149488e+00, 5.96096396e-01, -1.27056800e-03
-3.67280793e+00, 1.16966695e-01, 0.00000000e+00, 2.50115895e+00, 8.36071968e-01, -1.73412636e-03
-3.29883075e+00, 7.02701882e-02, 0.00000000e+00, 2.49514198e+00, 5.80677807e-01, -1.46004918e-03
-3.34889984e+00, 7.07475692e-02, 0.00000000e+00, 2.49598384e+00, 5.82513094e-01, -1.43129297e-03
-3.32251453e+00, 1.13808930e-01, 0.00000000e+00, 2.49561572e+00, 8.20896447e-01, -2.03934149e-03
-3.49910736e+00, 7.21797049e-02, 0.00000000e+00, 2.49841881e+00, 5.88194311e-01, -1.35395129e-03
-3.54917645e+00, 7.26570860e-02, 0.00000000e+00, 2.49920487e+00, 5.90135574e-01, -1.33115042e-03
-3.52267957e+00, 1.15615323e-01, 0.00000000e+00, 2.49885750e+00, 8.29429209e-01, -1.84693234e-03
-2.79813981e+00, 6.54963925e-02, 0.00000000e+00, 2.48555613e+00, 5.64527512e-01, -1.85876188e-03
-2.77210951e+00, 1.08800240e-01, 0.00000000e+00, 2.48505855e+00, 8.00640225e-01, -2.90049822e-03
-2.74807072e+00, 6.50190115e-02, 0.00000000e+00, 2.48443818e+00, 5.63153028e-01, -1.90504943e-03
-2.69800162e+00, 6.45416304e-02, 0.00000000e+00, 2.48328161e+00, 5.61808348e-01, -1.95003941e-03
-2.72205710e+00, 1.08290598e-01, 0.00000000e+00, 2.48391604e+00, 7.98866153e-01, -2.98957061e-03
-2.67200685e+00, 1.07742861e-01, 0.00000000e+00, 2.48272729e+00, 7.96955109e-01, -3.06913629e-03
-2.59786344e+00, 6.35868758e-02, 0.00000000e+00, 2.48082590e+00, 5.59055030e-01, -2.02436512e-03
-2.64793253e+00, 6.40642568e-02, 0.00000000e+00, 2.48208117e+00, 5.60460567e-01, -1.99151039e-03
-2.62198091e+00, 1.07088134e-01, 0.00000000e+00, 2.48148465e+00, 7.94537127e-01, -3.13180964e-03
-3.19869256e+00, 6.93154335e-02, 0.00000000e+00, 2.49340796e+00, 5.77116668e-01, -1.52415258e-03
-3.17240548e+00, 1.12474591e-01, 0.00000000e+00, 2.49301982e+00, 8.14956546e-01, -2.22817273e-03
-3.22244000e+00, 1.12918653e-01, 0.00000000e+00, 2.49390388e+00, 8.16892862e-01, -2.16106884e-03
-3.07234073e+00, 1.11583896e-01, 0.00000000e+00, 2.49119139e+00, 8.11198950e-01, -2.37519434e-03
-2.99841619e+00, 6.74059093e-02, 0.00000000e+00, 2.48969507e+00, 5.70464194e-01, -1.67651032e-03
-2.97227740e+00, 1.10673018e-01, 0.00000000e+00, 2.48926520e+00, 8.07532012e-01, -2.53824587e-03
-3.02230930e+00, 1.11126810e-01, 0.00000000e+00, 2.49024177e+00, 8.09328496e-01, -2.45512673e-03
-3.39896894e+00, 7.12249503e-02, 0.00000000e+00, 2.49681020e+00, 5.84380925e-01, -1.40432734e-03
-3.37255383e+00, 1.14261113e-01, 0.00000000e+00, 2.49644756e+00, 8.22988391e-01, -1.98589242e-03
-3.42259502e+00, 1.14712223e-01, 0.00000000e+00, 2.49726534e+00, 8.25104535e-01, -1.93626154e-03
-2.87220407e+00, 1.09753706e-01, 0.00000000e+00, 2.48722863e+00, 8.04049373e-01, -2.71493429e-03
-3.59924555e+00, 7.31344670e-02, 0.00000000e+00, 2.49997878e+00, 5.92104256e-01, -1.30956189e-03
-3.57272243e+00, 1.16065212e-01, 0.00000000e+00, 2.49963641e+00, 8.31617594e-01, -1.80677685e-03
-3.62276340e+00, 1.16523698e-01, 0.00000000e+00, 2.50040293e+00, 8.33878160e-01, -1.76924653e-03
-3.04848528e+00, 6.78832904e-02, 0.00000000e+00, 2.49065828e+00, 5.72066784e-01, -1.63404178e-03
-3.27247548e+00, 1.13369256e-01, 0.00000000e+00, 2.49476886e+00, 8.18906546e-01, -2.09786720e-03
-3.44903827e+00, 7.17023313e-02, 0.00000000e+00, 2.49762154e+00, 5.86278439e-01, -1.37849234e-03
-3.47263598e+00, 1.15171775e-01, 0.00000000e+00, 2.49806786e+00, 8.27298760e-01, -1.89008226e-03
-2.82215929e+00, 1.09284282e-01, 0.00000000e+00, 2.48616195e+00, 8.02350283e-01, -2.80774245e-03
-3.24876165e+00, 6.97928071e-02, 0.00000000e+00, 2.49428391e+00, 5.78880966e-01, -1.49114639e-03
-2.84820890e+00, 6.59737736e-02, 0.00000000e+00, 2.48663807e+00, 5.65940261e-01, -1.81186618e-03
-2.14796662e+00, 5.92973717e-02, 0.00000000e+00, 2.46642613e+00, 5.45385242e-01, -2.45411950e-03
-2.19731045e+00, 5.97678348e-02, 0.00000000e+00, 2.46794105e+00, 5.51941276e-01, -2.12595821e-03
-2.16355538e+00, 9.75120589e-02, 0.00000000e+00, 2.46704245e+00, 7.55253255e-01, -3.44476057e-03
-2.19736671e+00, 1.06118880e-01, 0.00000000e+00, 2.46812844e+00, 8.02590370e-01, -3.96947609e-03
-2.23209286e+00, 1.00464828e-01, 0.00000000e+00, 2.46887112e+00, 7.69676387e-01, -3.59596312e-03
