
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Total Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.60532606e+00, 1.04323119e-01, 0.00000000e+00, 2.42870092e+00, 2.79182911e+00, 8.52146745e-01, -1.01117920e-02
-2.54779434e+00, 6.31094947e-02, 0.00000000e+00, 2.47957611e+00, 2.63502169e+00, 5.57572663e-01, -2.04255059e-03
-2.57200742e+00, 1.06337592e-01, 0.00000000e+00, 2.48024964e+00, 2.79363728e+00, 7.91685045e-01, -3.17316479e-03
-1.59081137e+00, 7.90953636e-02, 0.00000000e+00, 2.42705488e+00, 2.66965747e+00, 6.96532249e-01, -6.93176966e-03
-1.48605084e+00, 1.03256293e-01, 0.00000000e+00, 2.41772151e+00, 2.79143667e+00, 8.64442885e-01, -1.29949925e-02
-1.60616350e+00, 5.41315936e-02, 0.00000000e+00, 2.42821455e+00, 2.56558537e+00, 5.24144113e-01, -3.78541695e-03
-2.30251718e+00, 1.40547201e-01, 0.00000000e+00, 2.47180152e+00, 2.96337461e+00, 9.91525769e-01, -4.77321120e-03
-2.34973574e+00, 1.42470449e-01, 0.00000000e+00, 2.47344112e+00, 2.97346997e+00, 1.00001776e+00, -4.70323861e-03
-2.32599354e+00, 1.82054624e-01, 0.00000000e+00, 2.47281718e+00, 3.20414805e+00, 1.20938778e+00, -6.52930234e-03
-1.99822879e+00, 1.50235698e-01, 0.00000000e+00, 2.45806980e+00, 3.02223849e+00, 1.06220448e+00, -7.67755974e-03
-2.01778531e+00, 1.86349362e-01, 0.00000000e+00, 2.45993209e+00, 3.23841453e+00, 1.24774194e+00, -1.02581372e-02
-1.98181915e+00, 1.85405448e-01, 0.00000000e+00, 2.45778513e+00, 3.23359442e+00, 1.24559236e+00, -1.08767115e-02
-2.39811945e+00, 1.44335732e-01, 0.00000000e+00, 2.47506380e+00, 2.98330188e+00, 1.00819373e+00, -4.65928111e-03
-1.96332455e+00, 1.58022538e-01, 0.00000000e+00, 2.45621777e+00, 3.06863642e+00, 1.10668814e+00, -8.86107609e-03
-1.94669831e+00, 1.33690387e-01, 0.00000000e+00, 2.45498037e+00, 2.93236303e+00, 9.77097750e-01, -6.72166143e-03
-1.97206187e+00, 1.33173570e-01, 0.00000000e+00, 2.45633817e+00, 2.92856526e+00, 9.71809506e-01, -6.36321353e-03
-2.03874707e+00, 1.54887572e-01, 0.00000000e+00, 2.46050549e+00, 3.04802155e+00, 1.08396232e+00, -7.58067844e-03
-2.42200899e+00, 1.87256023e-01, 0.00000000e+00, 2.47601914e+00, 3.23456311e+00, 1.23168540e+00, -6.24861987e-03
-2.37350655e+00, 1.84847116e-01, 0.00000000e+00, 2.47441244e+00, 3.22046661e+00, 1.22150218e+00, -6.40135584e-03
-2.25742769e+00, 1.38905033e-01, 0.00000000e+00, 2.47023845e+00, 2.95500588e+00, 9.84636903e-01, -4.97452077e-03
-2.23658991e+00, 1.75747111e-01, 0.00000000e+00, 2.46978164e+00, 3.16757774e+00, 1.18133187e+00, -6.88188616e-03
-2.21612310e+00, 1.38030335e-01, 0.00000000e+00, 2.46882486e+00, 2.95045495e+00, 9.81444240e-01, -5.25267050e-03
-2.11620712e+00, 1.63243309e-01, 0.00000000e+00, 2.46447492e+00, 3.09504151e+00, 1.12297845e+00, -7.25164544e-03
-2.17783093e+00, 1.35323554e-01, 0.00000000e+00, 2.46742201e+00, 2.93612385e+00, 9.68182266e-01, -5.21615101e-03
-2.15558290e+00, 1.67819038e-01, 0.00000000e+00, 2.46649027e+00, 3.12165260e+00, 1.14467192e+00, -7.12691760e-03
-2.44715691e+00, 1.46030828e-01, 0.00000000e+00, 2.47664142e+00, 2.99231005e+00, 1.01553738e+00, -4.60749213e-03
