
[Name]
Plane P1

[Data]
X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Pressure [ Pa ], Total Pressure [ Pa ]
-2.00000000e+00, 9.24121022e-01, 1.99999996e-02, 2.92251119e-04, 9.15242100e+00, 9.30617523e+00
-2.00000000e+00, 9.35066581e-01, 1.99999996e-02, 2.76995881e-04, 9.15262699e+00, 9.26579762e+00
-2.00000000e+00, 9.35066581e-01, -1.99999996e-02, 2.76995881e-04, 9.15262699e+00, 9.26579762e+00
-2.00000000e+00, 4.45859134e-02, 1.99999996e-02, 2.48664874e-04, 9.13112640e+00, 9.19315147e+00
-2.00000000e+00, 4.45859134e-02, -1.99999996e-02, 2.48664874e-04, 9.13112640e+00, 9.19315147e+00
-2.00000000e+00, 3.30201052e-02, 1.99999996e-02, 2.16230299e-04, 9.13103390e+00, 9.16615677e+00
-2.00000000e+00, 3.30201052e-02, -1.99999996e-02, 2.16230299e-04, 9.13103390e+00, 9.16615677e+00
-2.00000000e+00, 2.29628868e-02, 1.99999996e-02, 1.88026272e-04, 9.13091850e+00, 9.14838219e+00
-2.00000000e+00, 2.29628868e-02, -1.99999996e-02, 1.88026272e-04, 9.13091755e+00, 9.14838219e+00
-2.00000000e+00, 1.42174792e-02, 1.99999996e-02, 1.63501041e-04, 9.13082790e+00, 9.13769531e+00
-2.00000000e+00, 1.42174792e-02, -1.99999996e-02, 1.63501041e-04, 9.13082790e+00, 9.13769531e+00
-2.00000000e+00, 6.61277957e-03, 1.99999996e-02, 1.42174787e-04, 9.13076687e+00, 9.13229561e+00
-2.00000000e+00, 6.61277957e-03, -1.99999996e-02, 1.42174787e-04, 9.13076687e+00, 9.13229561e+00
-2.00000000e+00, -5.71501865e-16, 1.99999996e-02, 6.61277954e-05, 9.13074303e+00, 9.13074303e+00
-2.00000000e+00, -5.71501865e-16, -1.99999996e-02, 6.61277954e-05, 9.13074303e+00, 9.13074303e+00
-2.00000000e+00, 9.51820612e-01, -1.99999996e-02, 3.04647663e-04, 9.15268040e+00, 9.21738625e+00
-2.00000000e+00, 9.51820612e-01, 1.99999996e-02, 3.04647663e-04, 9.15267944e+00, 9.21738625e+00
-2.00000000e+00, 9.77355480e-01, -1.99999996e-02, 9.25838976e-05, 9.15237999e+00, 9.16761875e+00
-2.00000000e+00, 9.86041307e-01, -1.99999996e-02, 1.63249380e-04, 9.15227127e+00, 9.15812302e+00
-2.00000000e+00, 9.86041307e-01, 1.99999996e-02, 1.63249380e-04, 9.15227127e+00, 9.15812302e+00
-2.00000000e+00, 9.77355480e-01, 1.99999996e-02, 9.25838976e-05, 9.15237999e+00, 9.16761875e+00
-2.00000000e+00, 9.93680358e-01, -1.99999996e-02, 1.39586336e-04, 9.15219498e+00, 9.15342045e+00
-2.00000000e+00, 9.93680358e-01, 1.99999996e-02, 1.39586336e-04, 9.15219498e+00, 9.15342045e+00
-2.00000000e+00, 1.00000000e+00, -1.99999996e-02, 6.31964213e-05, 9.15216923e+00, 9.15216923e+00
-2.00000000e+00, 1.00000000e+00, 1.99999996e-02, 6.31964213e-05, 9.15216923e+00, 9.15216923e+00
-2.00000000e+00, 9.65531409e-01, -1.99999996e-02, 2.49624252e-04, 9.15254593e+00, 9.18666077e+00
-2.00000000e+00, 9.65531409e-01, 1.99999996e-02, 2.49624252e-04, 9.15254593e+00, 9.18666077e+00
-2.00000000e+00, 9.76782918e-01, -1.99999996e-02, 1.18240117e-04, 9.15238762e+00, 9.16824341e+00
-2.00000000e+00, 9.76782918e-01, 1.99999996e-02, 1.18240117e-04, 9.15238762e+00, 9.16824341e+00
