"Points:0","Points:1","Points:2","Pressure","Velocity:0","Velocity:1"
1.07553501e+01, 4.65566635e-01, 0.00000000e+00, 1.90966234e-01, 1.15257645e+00, 1.88861668e-05
1.07559299e+01, 4.78680581e-01, 0.00000000e+00, 1.90811366e-01, 7.37485766e-01, 4.67391437e-05
1.07564335e+01, 4.90083992e-01, 0.00000000e+00, 1.90718770e-01, 3.55352700e-01, 4.25258477e-05
1.07568722e+01, 5.00000000e-01, 0.00000000e+00, 1.90647542e-01, 7.34453183e-03, 1.42380386e-05
1.07054806e+01, 4.65658009e-01, 0.00000000e+00, 1.98416010e-01, 1.15039468e+00, -3.15155688e-04
1.07060843e+01, 4.78737146e-01, 0.00000000e+00, 1.98302627e-01, 7.35997677e-01, -1.29210457e-04
1.07066088e+01, 4.90110308e-01, 0.00000000e+00, 1.98220745e-01, 3.54548633e-01, -3.57734316e-05
1.07070646e+01, 5.00000000e-01, 0.00000000e+00, 1.98152632e-01, 7.25857774e-03, 1.08925369e-05
1.06556120e+01, 4.65749383e-01, 0.00000000e+00, 2.05888003e-01, 1.14847279e+00, -3.19342158e-04
1.06562386e+01, 4.78793740e-01, 0.00000000e+00, 2.05816507e-01, 7.34733462e-01, -1.04223014e-04
1.06567831e+01, 4.90136623e-01, 0.00000000e+00, 2.05733642e-01, 3.53911459e-01, -5.67944426e-06
1.06572561e+01, 5.00000000e-01, 0.00000000e+00, 2.05661729e-01, 7.22450484e-03, 1.89073362e-05
1.06057434e+01, 4.65840787e-01, 0.00000000e+00, 2.13428855e-01, 1.14646077e+00, -1.75625319e-04
1.06063929e+01, 4.78850305e-01, 0.00000000e+00, 2.13300735e-01, 7.33401179e-01, -4.05469546e-05
1.06069574e+01, 4.90162939e-01, 0.00000000e+00, 2.13198468e-01, 3.53201091e-01, 3.60696358e-05
1.06074486e+01, 5.00000000e-01, 0.00000000e+00, 2.13117346e-01, 7.15109007e-03, 3.59722071e-05
1.05558739e+01, 4.65932161e-01, 0.00000000e+00, 2.20888108e-01, 1.14456606e+00, -4.17127856e-04
1.05565472e+01, 4.78906870e-01, 0.00000000e+00, 2.20727697e-01, 7.32236743e-01, -2.07403689e-04
1.05571318e+01, 4.90189254e-01, 0.00000000e+00, 2.20624983e-01, 3.52632076e-01, -5.42172420e-05
1.05576410e+01, 5.00000000e-01, 0.00000000e+00, 2.20544040e-01, 7.11135473e-03, 3.25686196e-05
1.05060053e+01, 4.66023535e-01, 0.00000000e+00, 2.28344172e-01, 1.14300132e+00, -6.53210969e-04
1.05067015e+01, 4.78963464e-01, 0.00000000e+00, 2.28261769e-01, 7.31397033e-01, -3.27068672e-04
1.05073061e+01, 4.90215570e-01, 0.00000000e+00, 2.28175968e-01, 3.52371454e-01, -1.20440935e-04
1.05078325e+01, 5.00000000e-01, 0.00000000e+00, 2.28098691e-01, 7.20106997e-03, 1.65810852e-05
1.04561357e+01, 4.66114908e-01, 0.00000000e+00, 2.36057252e-01, 1.14126253e+00, -3.52840842e-04
1.04568558e+01, 4.79020029e-01, 0.00000000e+00, 2.35991716e-01, 7.30366945e-01, -1.44556921e-04
1.04574814e+01, 4.90241885e-01, 0.00000000e+00, 2.35898271e-01, 3.51999819e-01, -3.48494577e-05
1.04580250e+01, 5.00000000e-01, 0.00000000e+00, 2.35813931e-01, 7.29818642e-03, 1.66742175e-05
1.04062672e+01, 4.66206282e-01, 0.00000000e+00, 2.43894175e-01, 1.13901436e+00, -9.10894378e-05
1.04070101e+01, 4.79076624e-01, 0.00000000e+00, 2.43771777e-01, 7.28863001e-01, -2.16266417e-05
1.04076557e+01, 4.90268201e-01, 0.00000000e+00, 2.43666098e-01, 3.51252675e-01, 9.95615119e-06
1.04082174e+01, 5.00000000e-01, 0.00000000e+00, 2.43576631e-01, 7.28495140e-03, 1.31453799e-05
1.03563986e+01, 4.66297686e-01, 0.00000000e+00, 2.51657933e-01, 1.13671255e+00, -1.87728496e-04
1.03571644e+01, 4.79133189e-01, 0.00000000e+00, 2.51529992e-01, 7.27293015e-01, -6.86535204e-05
1.03578300e+01, 4.90294516e-01, 0.00000000e+00, 2.51426995e-01, 3.50424647e-01, -1.77709553e-05
1.03584089e+01, 5.00000000e-01, 0.00000000e+00, 2.51338601e-01, 7.22727738e-03, 4.76520381e-06
1.03065290e+01, 4.66389060e-01, 0.00000000e+00, 2.59386212e-01, 1.13457513e+00, -2.03327421e-04
1.03073187e+01, 4.79189783e-01, 0.00000000e+00, 2.59282768e-01, 7.25823104e-01, -4.17155643e-05
1.03080044e+01, 4.90320832e-01, 0.00000000e+00, 2.59175956e-01, 3.49637091e-01, 1.56853857e-05
1.03086014e+01, 5.00000000e-01, 0.00000000e+00, 2.59083331e-01, 7.16124708e-03, 1.31502293e-05
1.02566605e+01, 4.66480434e-01, 0.00000000e+00, 2.67122328e-01, 1.13244843e+00, -1.01787737e-04
1.02574730e+01, 4.79246348e-01, 0.00000000e+00, 2.66959965e-01, 7.24345684e-01, 9.92899641e-06
1.02581787e+01, 4.90347147e-01, 0.00000000e+00, 2.66832799e-01, 3.48798215e-01, 5.81010318e-05
1.02587929e+01, 5.00000000e-01, 0.00000000e+00, 2.66730845e-01, 7.04670232e-03, 3.36650082e-05
1.02067919e+01, 4.66571808e-01, 0.00000000e+00, 2.74733275e-01, 1.13054633e+00, -4.01880883e-04
1.02076273e+01, 4.79302943e-01, 0.00000000e+00, 2.74533778e-01, 7.23124325e-01, -1.88338570e-04
1.02083540e+01, 4.90373462e-01, 0.00000000e+00, 2.74404675e-01, 3.48148674e-01, -4.08778578e-05
1.02089853e+01, 5.00000000e-01, 0.00000000e+00, 2.74302632e-01, 6.96664350e-03, 3.45051776e-05
1.01569223e+01, 4.66663182e-01, 0.00000000e+00, 2.82306492e-01, 1.12909770e+00, -7.09282933e-04
1.01577816e+01, 4.79359508e-01, 0.00000000e+00, 2.82187879e-01, 7.22350061e-01, -3.49667651e-04
1.01585283e+01, 4.90399778e-01, 0.00000000e+00, 2.82075763e-01, 3.47893536e-01, -1.22949132e-04
1.01591778e+01, 5.00000000e-01, 0.00000000e+00, 2.81977177e-01, 7.03256857e-03, 2.12616287e-05
1.01070538e+01, 4.66754586e-01, 0.00000000e+00, 2.90116042e-01, 1.12755287e+00, -4.27522638e-04
1.01079359e+01, 4.79416072e-01, 0.00000000e+00, 2.90029407e-01, 7.21475303e-01, -1.80197894e-04
1.01087027e+01, 4.90426093e-01, 0.00000000e+00, 2.89912492e-01, 3.47604185e-01, -4.14470633e-05
1.01093693e+01, 5.00000000e-01, 0.00000000e+00, 2.89807349e-01, 7.12641375e-03, 2.19835420e-05
1.00571852e+01, 4.66845959e-01, 0.00000000e+00, 2.98077792e-01, 1.12548029e+00, -1.31054316e-04
1.00580902e+01, 4.79472667e-01, 0.00000000e+00, 2.97922879e-01, 7.20142245e-01, -4.03188751e-05
1.00588770e+01, 4.90452409e-01, 0.00000000e+00, 2.97788918e-01, 3.46971869e-01, 1.62553624e-05
1.00595617e+01, 5.00000000e-01, 0.00000000e+00, 2.97676206e-01, 7.12480163e-03, 2.50213052e-05
1.00073156e+01, 4.66937333e-01, 0.00000000e+00, 3.05997670e-01, 1.12329459e+00, -2.81030603e-04
1.00082445e+01, 4.79529232e-01, 0.00000000e+00, 3.05815727e-01, 7.18748689e-01, -1.43846031e-04
1.00090513e+01, 4.90478724e-01, 0.00000000e+00, 3.05680066e-01, 3.46315444e-01, -4.61880554e-05
1.00097542e+01, 5.00000000e-01, 0.00000000e+00, 3.05566341e-01, 7.11691985e-03, 1.75573714e-05
9.95744705e+00, 4.67028707e-01, 0.00000000e+00, 3.13940912e-01, 1.12120831e+00, -3.66846478e-04
9.95839882e+00, 4.79585826e-01, 0.00000000e+00, 3.13820183e-01, 7.17452288e-01, -1.89414408e-04
9.95922661e+00, 4.90505040e-01, 0.00000000e+00, 3.13694835e-01, 3.45793903e-01, -8.01126298e-05
9.95994568e+00, 5.00000000e-01, 0.00000000e+00, 3.13581616e-01, 7.18814228e-03, 3.37964366e-06
9.90757847e+00, 4.67120111e-01, 0.00000000e+00, 3.22086245e-01, 1.11879492e+00, -3.37889796e-05
9.90855312e+00, 4.79642391e-01, 0.00000000e+00, 3.21968973e-01, 7.15832233e-01, -4.67982318e-06
9.90940094e+00, 4.90531355e-01, 0.00000000e+00, 3.21837723e-01, 3.45064640e-01, -4.65656649e-06
9.91013813e+00, 5.00000000e-01, 0.00000000e+00, 3.21719050e-01, 7.23873358e-03, -2.95946256e-06
9.85770893e+00, 4.67211485e-01, 0.00000000e+00, 3.30279469e-01, 1.11586773e+00, 1.88983307e-04
